NAME,CLASS,CODE,CNPJ,STOCK_TYPE,ISIN,SETOR(BOVESPA),SUBSETOR(BOVESPA),SEGMENTO(BOVESPA),CVM_CODE,CVM_STATUS,CVM_FIRM_TYPE,FIRM_NAME,SOURCE_ECONOMATICA,SOURCE_CVM,SOURCE_BRFIN
BANEX S/A,ON;PN,LOSA3;LOSA4,33.550.104/0001-29,AÇÃO,-,-,-,-,008176,Cancelado em 14/11/2007,CIAS ABERTAS,"BANEX S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO",True,True,False
BANORTE,ON,BNNE3,BNNE3,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
BANPARA,ON,BPAR3,04.913.711/0001-08,AÇÃO,BRBPARACNOR5,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,001171,Concedido em 20/07/1977,CIAS ABERTAS,BANCO DO ESTADO DO PARÁ S/A.,True,True,False
BANRISUL,ON;PNA;PNB;UNN1,BRSR3;BRSR5;BRSR6;BRSR11,92.702.067/0001-96,AÇÃO,BRBRSRACNOR3;BRBRSRACNPA6;BRBRSRACNPB4;-,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,001210,Concedido em 20/07/1977,CIAS ABERTAS,BANCO DO ESTADO DO RIO GRANDE DO SUL SA,True,True,False
BARDELLA,ON;PN,BDLL3;BDLL4,60.851.615/0001-53,AÇÃO,BRBDLLACNOR1;BRBDLLACNPR8,BENS INDUSTRIAIS,MÁQUINAS E EQUIPAMENTOS,MÁQ. E EQUIP. INDUSTRIAIS,001520,Concedido em 26/11/1969,CIAS ABERTAS,BARDELLA S.A. INDS MECANICAS - EM RECUPERAÇÃO JUDICIAL,True,True,False
BAUMER,ON;PN,BALM3;BALM4,61.374.161/0001-30,AÇÃO,BRBALMACNOR5;BRBALMACNPR2,SAÚDE,EQUIPAMENTOS,EQUIPAMENTOS,001562,Concedido em 20/05/1970,CIAS ABERTAS,BAUMER SA,True,True,False
BBMLOGISTICA,ON,BBML3,01.107.327/0001-20,AÇÃO,BRBBMLACNOR3,BENS INDUSTRIAIS,SERVIÇOS DIVERSOS,SERVIÇOS DIVERSOS,024660,Concedido em 27/02/2019,CIAS ABERTAS,BBM LOGÍSTICA S.A.,True,True,False
BBSEGURIDADE,ON,BBSE3,17.344.597/0001-94,AÇÃO,BRBBSEACNOR5,FINANCEIRO,PREVIDÊNCIA E SEGUROS,SEGURADORAS,023159,Concedido em 25/04/2013,CIAS ABERTAS,BB SEGURIDADE PARTICIPAÇÕES S.A.,True,True,False
BCN,PN,BCNA4,60.898.723/0001-81,AÇÃO,-,-,-,-,000957,Cancelado em 28/07/1998,CIAS ABERTAS,BANCO BCN S.A.,True,True,False
BELAPART,ON;PNA;PNB,PBEL3B;PBEL5B;PBEL6B,01.608.571/0001-76,AÇÃO,BRPBELACNOR0;-,FINANCEIRO,OUTROS,OUTROS,016233,Cancelado em 26/05/2017,CIAS ABERTAS,BELAPART SA,True,True,False
BEMATECH,ON,BEMA3,82.373.077/0001-71,AÇÃO,BRBEMAACNOR0,-,-,-,020656,Cancelado em 16/02/2016,CIAS ABERTAS,BEMATECH  S/A,True,True,False
BEMGE,ON,BEMG3,BEMG3,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
BEMGE,PN,BEMG4,BEMG4,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
BEMOBI TECH,ON,BMOB3,09.042.817/0001-05,AÇÃO,BRBMOBACNOR7,TECNOLOGIA DA INFORMAÇÃO,PROGRAMAS E SERVIÇOS,PROGRAMAS E SERVIÇOS,025500,Concedido em 08/02/2021,CIAS ABERTAS,BEMOBI MOBILE TECH S.A.,True,True,False
BERGAMO,ON;PNA,BERG3;BERG5,60.881.364/0001-50,AÇÃO,-,-,-,-,001651,Cancelado em 04/01/2010,CIAS ABERTAS,NESBER COMPANHIA INDUSTRIAL,True,True,False
BESC,ON,BSCT3,BSCT3,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
BESC,PNA,BSCT5,BSCT5,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
BESC,PNB,BSCT6,BSCT6,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
BETA,PNA,BTAS5,04.381.091/0001-03,AÇÃO,-,-,-,-,001660,Cancelado em 13/11/2007,CIAS ABERTAS,BETA SA INDUSTRIA E COMERCIO,True,True,False
BETAPART,ON,BETP3,02.762.124/0001-30,AÇÃO,BRBETPACNOR3,OUTROS,OUTROS,OUTROS,017884,Concedido em 06/11/1998,CIAS ABERTAS,BETAPART PARTICIPAÇÕES SA,True,True,False
BHG,ON,BHGR3,08.723.106/0001-25,AÇÃO,BRBHGRACNOR9,-,-,-,020907,Cancelado em 13/07/2015,CIAS ABERTAS,BHG S.A. - BRAZIL HOSPITALITY GROUP,True,True,False
BIC MONARK,ON,BMKS3,56.992.423/0001-90,AÇÃO,BRBMKSACNOR9,CONSUMO CÍCLICO,VIAGENS E LAZER,BICICLETAS,001694,Concedido em 01/12/1971,CIAS ABERTAS,BICICLETAS MONARK SA,True,True,False
BICBANCO,ON;PN;UNN1,BICB3;BICB4;BICB11,07.450.604/0001-89,AÇÃO,BRBICBACNOR0;BRBICBACNPR7;-,-,-,-,021113,Cancelado em 19/10/2015,CIAS ABERTAS,CHINA CONSTRUCTION BANK(BRASIL) BANCO MÚLTIPLO S.A.,True,True,False
BIOBRAS,PN,BIOB4,16.921.603/0001-66,AÇÃO,-,-,-,-,001708,Cancelado em 27/11/2002,CIAS ABERTAS,BIOBRAS SA,True,True,False
BIOMM,ON;PN,BIOM3;BIOM4,04.752.991/0001-10,AÇÃO,BRBIOMACNOR2;BRBIOMACNPR9,SAÚDE,MEDICAMENTOS E OUTROS PRODUTOS,MEDICAMENTOS E OUTROS PRODUTOS,019305,Concedido em 19/08/2002,CIAS ABERTAS,BIOMM SA,True,True,False
BIOSEV,ON,BSEV3,15.527.906/0001-36,AÇÃO,BRBSEVACNOR3,CONSUMO NÃO CÍCLICO,ALIMENTOS PROCESSADOS,AÇÚCAR E ÁLCOOL,022845,Cancelado em 25/06/2021,CIAS ABERTAS,BIOSEV S.A.,True,True,False
BIOTOSCANA,ON,GBIO33,19.688.956/0001-56,AÇÃO,BRGBIOBDR008,SAÚDE,MEDICAMENTOS E OUTROS PRODUTOS,MEDICAMENTOS E OUTROS PRODUTOS,-,-,-,-,True,False,False
BLAU,ON,BLAU3,58.430.828/0001-60,AÇÃO,BRBLAUACNOR8,SAÚDE,COMÉRCIO E DISTRIBUIÇÃO,MEDICAMENTOS E OUTROS PRODUTOS,024627,Concedido em 11/01/2019,CIAS ABERTAS,BLAU FARMACÊUTICA S.A.,True,True,False
BLUE TREE,ON,CTWR3,66.542.002/0001-10,AÇÃO,-,-,-,-,017760,Cancelado em 01/02/2008,CIAS ABERTAS,BLUE TREE HOTELS & RESORTS DO BRASIL SA,True,True,False
BM&F,ON,BMEF3,54.641.030/0001-06,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
BOA SAFRA,ON,SOJA3,10.807.374/0001-77,AÇÃO,BRSOJAACNOR9,CONSUMO NÃO CÍCLICO,AGROPECUÁRIA,AGRICULTURA,025704,Concedido em 19/04/2021,CIAS ABERTAS,BOA SAFRA SEMENTES S.A,True,True,False
BOA VISTA,ON,BOAS3,11.725.176/0001-27,AÇÃO,BRBOASACNOR6,FINANCEIRO,SERVIÇOS FINANCEIROS DIVERSOS,SERVIÇOS FINANCEIROS DIVERSOS,025135,Concedido em 28/09/2020,CIAS ABERTAS,BOA VISTA SERVIÇOS S.A.,True,True,False
BOAVISTA,PN,BBV4,BBV4,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
BOMBRIL,ON;PN,BOBR3;BOBR4,50.564.053/0001-03,AÇÃO,BRBOBRACNOR6;BRBOBRACNPR3,CONSUMO NÃO CÍCLICO,PRODUTOS DE USO PESSOAL E DE LIMPEZA,PRODUTOS DE LIMPEZA,012190,Concedido em 26/09/1984,CIAS ABERTAS,BOMBRIL SA,True,True,False
BOMPRECO,PN,BPCO4,13.004.510/0001-89,AÇÃO,-,-,-,-,015202,Cancelado em 06/02/2002,CIAS ABERTAS,BOMPRECO SA SUPERMERCADO DO NE,True,True,False
BOMPRECO BAH,ON;PN,IDCO3;IDCO4,97.422.620/0001-50,AÇÃO,-,-,-,-,014435,Cancelado em 17/02/2006,CIAS ABERTAS,BOMPREÇO BAHIA SA,True,True,False
BONAIRE PART,ON,BNPA3B,02.117.801/0001-67,AÇÃO,BRBNPAACNOR4,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,016560,Concedido em 03/11/1997,CIAS ABERTAS,BONAIRE PARTICIPAÇÕES S.A.- EM LIQUIDAÇÃO,True,True,False
BOTUCATU TEX,ON;PN,STRP3;STRP4,61.087.581/0001-35,AÇÃO,BRSTRPACNOR9;BRSTRPACNPR6,-,-,-,010987,Cancelado em 09/07/2012,CIAS ABERTAS,BOTUCATU TÊXTIL S. A.,True,True,False
BOVESPA HOLDING,ON,BOVH3,BOVH3,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
BR FERROVIAS,ON;PN,FRPS3;FRPS4,02.457.269/0001-27,AÇÃO,-,-,-,-,017353,Cancelado em 17/07/2008,CIAS ABERTAS,BRASIL FERROVIAS S.A.,True,True,False
BR HOME,ON,HCBR3,11.102.250/0001-59,AÇÃO,BRHCBRACNOR8,CONSUMO CÍCLICO,COMÉRCIO,PRODUTOS DIVERSOS,023710,Cancelado em 08/11/2019,CIAS ABERTAS,BR HOME CENTERS S.A.,True,True,False
BR MALLS PAR,ON,BRML3,06.977.745/0001-91,AÇÃO,BRBRMLACNOR9,FINANCEIRO,EXPLORAÇÃO DE IMÓVEIS,EXPLORAÇÃO DE IMÓVEIS,019909,Concedido em 04/01/2006,CIAS ABERTAS,BR MALLS PARTICIPAÇOES S.A.,True,True,False
BR PARTNERS,UNT N2,BRBI11,10.739.356/0001-03,AÇÃO,BRBRBICDAM10,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,025860,Concedido em 13/05/2021,CIAS ABERTAS,BR ADVISORY PARTNERS PARTICIPACOES S.A.,True,True,False
BR PHARMA,ON,BPHA3,11.395.624/0001-71,AÇÃO,BRBPHAACNOR6,SAÚDE,COMÉRCIO E DISTRIBUIÇÃO,MEDICAMENTOS E OUTROS PRODUTOS,022500,Concedido em 22/06/2011,CIAS ABERTAS,MASSA FALIDA DA BRASIL PHARMA SA,True,True,False
BR PROPERT,ON,BRPR3,06.977.751/0001-49,AÇÃO,BRBRPRACNOR9,FINANCEIRO,EXPLORAÇÃO DE IMÓVEIS,EXPLORAÇÃO DE IMÓVEIS,019925,Concedido em 04/01/2006,CIAS ABERTAS,BR PROPERTIES S.A.,True,True,False
BRADESCO,ON;PN,BBDC3;BBDC4,60.746.948/0001-12,AÇÃO,BRBBDCACNOR1;BRBBDCACNPR8,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,000906,Concedido em 20/07/1977,CIAS ABERTAS,BANCO BRADESCO S.A.,True,True,False
BRADESPAR,ON;PN;UNT,BRAP3;BRAP4;BRAP99,03.847.461/0001-92,AÇÃO,BRBRAPACNOR5;BRBRAPACNPR2;BRBRAPCDAM12,MATERIAIS BÁSICOS,MINERAÇÃO,MINERAIS METÁLICOS,018724,Concedido em 07/08/2000,CIAS ABERTAS,BRADESPAR S/A,True,True,False
BRAMPAC,PN,ITPS4,61.149.084/0001-14,AÇÃO,-,-,-,-,007714,Cancelado em 19/09/2000,CIAS ABERTAS,BRAMPAC SA,True,True,False
BRASIL,ON;PN,BBAS3;BBAS4,00.000.000/0001-91,AÇÃO,BRBBASACNOR3;-,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,001023,Concedido em 20/07/1977,CIAS ABERTAS,BANCO DO BRASIL S.A.,True,True,False
BRASIL T PAR,ON,BRTP3,BRTP3,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
BRASIL T PAR,PN,BRTP4,BRTP4,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
BRASILAGRO,ON,AGRO3,07.628.528/0001-59,AÇÃO,BRAGROACNOR7,CONSUMO NÃO CÍCLICO,AGROPECUÁRIA,AGRICULTURA,020036,Concedido em 25/04/2006,CIAS ABERTAS,BRASILAGRO CIA BRAS DE PROP AGRICOLAS,True,True,False
BRASILIT,ON,LITS3,61.064.838/0001-33,AÇÃO,-,-,-,-,001910,Cancelado em 01/06/2001,CIAS ABERTAS,BRASILIT SA,True,True,False
BRASKEM,ON;PNA;PNB,BRKM3;BRKM5;BRKM6,42.150.391/0001-70,AÇÃO,BRBRKMACNOR1;BRBRKMACNPA4;BRBRKMACNPB2,MATERIAIS BÁSICOS,QUÍMICOS,PETROQUÍMICOS,004820,Concedido em 18/12/1978,CIAS ABERTAS,BRASKEM S.A.,True,True,False
BRASMOTOR,ON;PN,BMTO3;BMTO4,61.084.984/0001-20,AÇÃO,BRBMTOACNOR9;BRBMTOACNPR6,CONSUMO CÍCLICO,UTILIDADES DOMÉSTICAS,ELETRODOMÉSTICOS,001970,Cancelado em 22/12/2016,CIAS ABERTAS,BRASMOTOR SA,True,True,False
BRASPEROLA,PNA,BPLA5,11.703.519/0001-52,AÇÃO,-,-,-,-,003506,Cancelado em 07/08/2007,CIAS ABERTAS,MASSA FALIDA DE BRASPÉROLA INDÚSTRIA E COMÉRCIO SA,True,True,False
BRAZILIAN FR,ON,BFRE3,02.762.113/0001-50,AÇÃO,BRBFREACNOR8,-,-,-,017922,Concedido em 10/11/1998,CIAS ABERTAS,BRAZILIAN FINANCE & REAL ESTATE S.A.,True,True,False
BRB BANCO,ON;PN,BSLI3;BSLI4,00.000.208/0001-00,AÇÃO,BRBSLIACNOR5;BRBSLIACNPR2,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,014206,Concedido em 24/09/1993,CIAS ABERTAS,BRB BANCO DE BRASILIA SA,True,True,False
BRF SA,ON;PN,BRFS3;PRGA4,01.838.723/0001-27,AÇÃO,BRBRFSACNOR8;-,CONSUMO NÃO CÍCLICO,ALIMENTOS PROCESSADOS,CARNES E DERIVADOS,016292,Concedido em 24/06/1997,CIAS ABERTAS,BRF S.A.,True,True,False
BRISANET,ON,BRIT3,19.796.586/0001-70,AÇÃO,BRBRITACNOR0,COMUNICAÇÕES,TELECOMUNICAÇÕES,TELECOMUNICAÇÕES,026085,Concedido em 27/07/2021,CIAS ABERTAS,BRISANET PARTICIPAÇÕES S.A.,True,True,False
BROOKFIELD,ON,BISA3,07.700.557/0001-84,AÇÃO,BRBISAACNOR8,-,-,-,020265,Cancelado em 24/08/2016,CIAS ABERTAS,BROOKFIELD INCORPORAÇÕES S.A.,True,True,False
BRQ,ON,BRQB3,36.542.025/0001-64,AÇÃO,BRBRQBACNOR1,TECNOLOGIA DA INFORMAÇÃO,PROGRAMAS E SERVIÇOS,PROGRAMAS E SERVIÇOS,023817,Concedido em 11/01/2016,CIAS ABERTAS,BRQ SOLUÇÕES EM INFORMÁTICA S.A.,True,True,False
BRUMADINHO,PN,BRUM4,52.082.872/0001-40,AÇÃO,-,-,-,-,012971,Cancelado em 09/08/2005,CIAS ABERTAS,BRUMADINHO SA MIN E METAIS,True,True,False
BTGP BANCO,ON;PNA;UNT,BPAC3;BPAC5;BPAC11,30.306.294/0001-45,AÇÃO,BRBPACACNOR7;BRBPACACNPA0;BRBPACUNT006,FINANCEIRO,INTERMEDIÁRIOS FINANCEIROS,BANCOS,022616,Concedido em 10/11/2011,CIAS ABERTAS,BANCO BTG PACTUAL S/A,True,True,False
BUETTNER,ON;PN,BUET3;BUET4,82.981.812/0001-20,AÇÃO,BRBUETACNOR3;BRBUETACNPR0,CONSUMO CÍCLICO,TECIDOS VESTUÁRIO E CALÇADOS,FIOS E TECIDOS,002038,Cancelado em 30/05/2018,CIAS ABERTAS,BUETTNER SA IND E COMÉRCIO,True,True,False
BUNGE ALIMENTOS,ON;PN,CEVA3;CEVA4,84.046.101/0001-93,AÇÃO,-,-,-,-,002593,Cancelado em 08/10/2002,CIAS ABERTAS,BUNGE ALIMENTOS SA,True,True,False
BUNGE BRASIL,ON;PN,MSAN3;MSAN4,61.074.092/0001-49,AÇÃO,-,-,-,-,010278,Cancelado em 07/10/2004,CIAS ABERTAS,BUNGE BRASIL SA,True,True,False
BUNGE FERTILIZANTES,PN,MAHS4,61.082.822/0001-53,AÇÃO,-,-,-,-,008370,Cancelado em 08/10/2002,CIAS ABERTAS,BUNGE FERTILIZANTES SA,True,True,False
CABINDA PART,ON,CABI3,04.030.182/0001-02,AÇÃO,BRCABIACNOR2,OUTROS,OUTROS,OUTROS,019119,Concedido em 29/10/2001,CIAS ABERTAS,CABINDA PARTICIPAÇÕES SA,True,True,False
CACH DOURADA,PN,CDOU4,01.672.223/0001-68,AÇÃO,-,-,-,-,016322,Cancelado em 17/09/2001,CIAS ABERTAS,CENTRAIS ELÉTRICAS CACHOEIRA DOURADA S/A,True,True,False
CACIQUE,ON;PN,CIQU3;CIQU4,78.588.415/0001-15,AÇÃO,BRCIQUACNOR8;BRCIQUACNPR5,-,-,-,002909,Cancelado em 23/03/2015,CIAS ABERTAS,CIA CACIQUE CAFE SOLUVEL,True,True,False
CACONDE PART,ON,CACO3B,04.031.213/0001-31,AÇÃO,BRCACOACNOR8,OUTROS,OUTROS,OUTROS,019135,Concedido em 29/10/2001,CIAS ABERTAS,CACONDE PARTICIPAÇÕES SA,True,True,False
CAEMI,ON;PN,CMET3;CMET4,31.865.728/0001-00,AÇÃO,-,-,-,-,013552,Cancelado em 18/07/2006,CIAS ABERTAS,CAEMI MINERAÇÃO E METALURGIA S.A.,True,True,False
CAF BRASILIA,ON;PN,CAFE3;CAFE4,25.869.736/0001-21,AÇÃO,BRCAFEACNOR2;BRCAFEACNPR9,-,-,-,002062,Cancelado em 18/12/2014,CIAS ABERTAS,CAFE SOLUVEL BRASILIA SA,True,True,False
CAIANDA PART,ON,CAIA3B,04.038.763/0001-82,AÇÃO,BRCAIAACNOR4,FINANCEIRO,OUTROS,OUTROS,019097,Concedido em 29/10/2001,CIAS ABERTAS,CAIANDA PARTICIPAÇÕES SA,True,True,False
CAIXA SEGURI,ON,CXSE3,22.543.331/0001-00,AÇÃO,BRCXSEACNOR7,FINANCEIRO,PREVIDÊNCIA E SEGUROS,SEGURADORAS,023795,Concedido em 17/12/2015,CIAS ABERTAS,CAIXA SEGURIDADE PARTICIPAÇÕES S.A.,True,True,False
CAMBUCI,ON;PN,CAMB3;CAMB4,61.088.894/0001-08,AÇÃO,BRCAMBACNOR4;BRCAMBACNPR1,CONSUMO CÍCLICO,TECIDOS VESTUÁRIO E CALÇADOS,CALÇADOS,002100,Concedido em 05/01/1985,CIAS ABERTAS,CAMBUCI SA,True,True,False
CAMIL,ON,CAML3,64.904.295/0001-03,AÇÃO,BRCAMLACNOR3,CONSUMO NÃO CÍCLICO,ALIMENTOS PROCESSADOS,ALIMENTOS DIVERSOS,024228,Concedido em 26/09/2017,CIAS ABERTAS,CAMIL ALIMENTOS S/A,True,True,False
CAPITALPART,ON,CPTP3B,02.591.787/0001-39,AÇÃO,BRCPTPACNOR7,OUTROS,OUTROS,OUTROS,017493,Concedido em 09/07/1998,CIAS ABERTAS,CAPITALPART PARTICIPAÇÕES SA,True,True,False
CARAIBA MET,ON,CRBM3,CRBM3,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
CARAIBA MET,PNA,CRBM5,CRBM5,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
CARAIBA MET,PNC,CRBM7,CRBM7,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
CARAIBA MET,PND,CRBM8,CRBM8,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
CARAIBA MET,PNE,CRBM11,CRBM11,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
CARGILL FERTILIZANT,PN,SOLO4,61.156.501/0001-56,AÇÃO,-,-,-,-,010863,Cancelado em 20/08/2003,CIAS ABERTAS,CARGILL FERTILIZANTES SA,True,True,False
CARREFOUR BR,ON,CRFB3,75.315.333/0001-09,AÇÃO,BRCRFBACNOR2,CONSUMO NÃO CÍCLICO,COMÉRCIO E DISTRIBUIÇÃO,ALIMENTOS,024171,Concedido em 18/07/2017,CIAS ABERTAS,ATACADÃO S.A.,True,True,False
CASA ANGLO,PN,CABR4,61.565.511/0001-45,AÇÃO,-,-,-,-,002178,Cancelado em 09/08/2005,CIAS ABERTAS,CASA ANGLO BRASILEIRA S/A,True,True,False
CASAN,ON;PN,CASN3;CASN4,82.508.433/0001-17,AÇÃO,BRCASNACNOR6;BRCASNACNPR3,UTILIDADE PÚBLICA,ÁGUA E SANEAMENTO,ÁGUA E SANEAMENTO,016861,Concedido em 06/02/1998,CIAS ABERTAS,CIA CAT. DE ÁGUAS E SANEAMENTO - CASAN,True,True,False
CASAS BAHIA,ON;PN;UNT N2,BHIA3;VVAR4;VVAR11,33.041.260/0652-90,AÇÃO,BRBHIAACNOR1;BRVVARACNPR8;BRVVARCDAM10,CONSUMO CÍCLICO,COMÉRCIO,ELETRODOMÉSTICOS,006505,Concedido em 24/11/1981,CIAS ABERTAS,VIA S.A.,True,True,False
CBA,ON,CBAV3,61.409.892/0001-73,AÇÃO,BRCBAVACNOR5,MATERIAIS BÁSICOS,MINERAÇÃO,MINERAIS METÁLICOS,025984,Concedido em 13/07/2021,CIAS ABERTAS,COMPANHIA BRASILEIRA DE ALUMINIO,True,True,False
CBC CARTUCHO,ON;PN,CCTU3;CCTU4,57.494.031/0001-63,AÇÃO,-,-,-,-,013315,Cancelado em 14/11/2007,CIAS ABERTAS,COMPANHIA BRASILEIRA DE CARTUCHOS - CBC,True,True,False
CBCC CONTACT CENTER,ON,TRIM3,00.027.742/0001-00,AÇÃO,-,-,-,-,017728,Cancelado em 16/11/2010,CIAS ABERTAS,CBCC PARTICIPAÇÕES SA,True,True,False
CBV IND MEC,PN,CBVI4,CBVI4,AÇÃO,-,-,-,-,-,-,-,-,True,False,False
CC DES IMOB,ON,CCIM3,67.203.208/0001-89,AÇÃO,BRCCIMACNOR5,-,-,-,020486,Cancelado em 19/10/2012,CIAS ABERTAS,CAMARGO CORREA DESENVOLVIMENTO  IMOBILIARIO SA,True,True,False
CCR SA,ON,CCRO3,02.846.056/0001-97,AÇÃO,BRCCROACNOR2,BENS INDUSTRIAIS,TRANSPORTE,EXPLORAÇÃO DE RODOVIAS,018821,Concedido em 19/12/2000,CIAS ABERTAS,CCR S.A.,True,True,False
CCX CARVAO,ON,CCXC3,07.950.674/0001-04,AÇÃO,BRCCXCACNOR5,OUTROS,OUTROS,OUTROS,020184,Concedido em 19/07/2006,CIAS ABERTAS,CCX CARVÃO DA COLOMBIA S.A. - EM LIQUIDAÇÃO,True,True,False
CEA MODAS,ON,CEAB3,45.242.914/0001-05,AÇÃO,BRCEABACNOR1,CONSUMO CÍCLICO,COMÉRCIO,TECIDOS VESTUÁRIO E CALÇADOS,024848,Concedido em 24/10/2019,CIAS ABERTAS,C&A MODAS S.A.,True,True,False
CEB,ON;PNA;PNB,CEBR3;CEBR5;CEBR6,00.070.698/0001-11,AÇÃO,BRCEBRACNOR5;BRCEBRACNPA8;BRCEBRACNPB6,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,014451,Concedido em 04/07/1994,CIAS ABERTAS,COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB,True,True,False
CEDRO,ON;PN;PNB,CEDO3;CEDO4;CEDO6,17.245.234/0001-00,AÇÃO,BRCEDOACNOR8;BRCEDOACNPR5;-,CONSUMO CÍCLICO,TECIDOS VESTUÁRIO E CALÇADOS,FIOS E TECIDOS,003077,Concedido em 11/08/1969,CIAS ABERTAS,COMPANHIA DE FIACAO E TECIDOS CEDRO E CACHOEIRA,True,True,False
CEEE-D,ON;PN,CEED3;CEED4,08.467.115/0001-00,AÇÃO,BRCEEDACNOR9;BRCEEDACNPR6,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,020648,Concedido em 17/04/2007,CIAS ABERTAS,CIA ESTADUAL DE DISTRIBUIÇÃO DE ENERGIA ELETRICA,True,True,False
CEEE-G,ON;PN,CGEE3;CGEE4,39.881.421/0001-04,AÇÃO,BRCGEEACNOR2;BRCGEEACNPR9,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,027154,Concedido em 30/03/2023,CIAS ABERTAS,COMPANHIA ESTADUAL DE GERAÇÃO DE ENERGIA ELÉTRICA - CEEE-G,True,True,False
CEEE-T,ON;PN,EEEL3;EEEL4,92.715.812/0001-31,AÇÃO,BREEELACNOR8;BREEELACNPR5,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,003204,Concedido em 07/01/1970,CIAS ABERTAS,CIA ESTADUAL DE GERACAO E TRANSMISSAO DE ENERGIA ELETRICA,True,True,False
CEG,ON,CEGR3,33.938.119/0001-69,AÇÃO,BRCEGRACNOR4,UTILIDADE PÚBLICA,GÁS,GÁS,016616,Concedido em 17/11/1997,CIAS ABERTAS,CIA. DISTRIB. DE GÁS DO RIO DE JANEIRO,True,True,False
CELESC,ON;PN;PNA,CLSC3;CLSC4;CLSC5,83.878.892/0001-55,AÇÃO,BRCLSCACNOR6;BRCLSCACNPR3;BRCLSCACNPA9,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,002461,Concedido em 26/03/1973,CIAS ABERTAS,CENTRAIS ELETRICAS DE SANTA CATARINA S.A,True,True,False
CELG,ON;PN;PNB,CGOS3;CGOS4;CGOS6,01.543.032/0001-04,AÇÃO,BRCGOSACNOR1;-,-,-,-,025577,Concedido em 12/02/2021,CIAS ABERTAS,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A.,True,True,False
CELGPAR,ON,GPAR3,08.560.444/0001-93,AÇÃO,BRGPARACNOR4,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,021393,Concedido em 14/03/2008,CIAS ABERTAS,COMPANHIA CELG DE PARTICIPAÇÕES - CELGPAR,True,True,False
CELM,ON,CELM3,61.086.823/0001-76,AÇÃO,-,-,-,-,002402,Cancelado em 04/01/2011,CIAS ABERTAS,CELM CIA EQUIP LABS MODERNOS,True,True,False
CELPE,ON;PNA;PNB,CEPE3;CEPE5;CEPE6,10.835.932/0001-08,AÇÃO,BRCEPEACNOR3;BRCEPEACNPA6;BRCEPEACNPB4,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,014362,Concedido em 29/04/1994,CIAS ABERTAS,CIA ENERGÉTICA DE PERNAMBUCO - CELPE,True,True,False
CEMEPE,ON;PN,MAPT3;MAPT4,93.828.986/0001-73,AÇÃO,BRMAPTACNOR8;BRMAPTACNPR5,OUTROS,OUTROS,OUTROS,013854,Concedido em 28/06/1991,CIAS ABERTAS,CEMEPE INVESTIMENTOS SA,True,True,False
CEMIG,ON;PN,CMIG3;CMIG4,17.155.730/0001-64,AÇÃO,BRCMIGACNOR6;BRCMIGACNPR3,UTILIDADE PÚBLICA,ENERGIA ELÉTRICA,ENERGIA ELÉTRICA,002453,Concedido em 30/06/1971,CIAS ABERTAS,CIA ENERG MINAS GERAIS - CEMIG,True,True,False
CENT AÇU,ON,CTLG3,08.835.366/0001-92,AÇÃO,-,-,-,-,021245,Cancelado em 24/03/2014,CIAS ABERTAS,CENTENNIAL ASSET PARTICIPAÇÕES AÇU SA,True,True,False
